frag_a,pose_a,h_a,frag_b,pose_b,h_b,k,n_atoms,charge,d_ca,theta_a,theta_b,closure,penalty,e_held_ev,e_free_ev,strain_kcal,rmsd_held_free,contact_held,steps_held,steps_free,conv_held,conv_free
arginine,3,16,phenylalanine,4,12,3,69,1,2.554,104.5,63.6,0.0086,12.7616,-45961.500191,-45972.535848,254.486,1.433,2.233,168,315,1,1
arginine,3,16,glutamic,22,4,1,47,0,5.077,117.1,82.2,0.0929,6.4577,-33485.528360,-33489.066746,81.596,2.019,2.250,100,335,1,1
arginine,3,16,serine,31,3,2,53,1,5.722,170.0,69.4,0.0,0.0,-36074.528508,-36074.696256,3.868,0.250,2.258,145,51,1,1
arginine,3,16,aspartic,21,3,2,54,0,7.13,109.8,47.7,0.0,0.0,-39147.264128,-39149.679455,55.698,1.422,2.250,204,237,1,1
arginine,3,16,tyrosine,1,11,2,64,1,7.201,59.4,51.3,0.0,0.0,-42375.393314,-42377.044788,38.084,1.415,2.249,104,257,1,1
arginine,3,16,lysine,5,13,2,64,2,8.745,114.2,121.7,0.0699,12.066,-38750.879417,-38751.901815,23.577,0.817,2.257,98,184,1,1
arginine,3,16,isoleucine,3,4,2,61,1,9.043,77.5,94.6,0.0737,11.7285,-37236.396947,-37237.013787,14.225,0.905,2.258,318,151,1,1
arginine,3,16,tryptophan,5,16,2,66,1,10.458,106.8,111.0,0.0344,30.9107,-43895.353001,-43896.470513,25.770,1.480,2.239,140,250,1,1
arginine,3,16,leucine,13,1,3,68,1,11.492,38.8,123.9,0.1254,4.5178,-42896.474856,-42896.987261,11.816,0.398,2.256,170,103,1,1
