name,n_peptide_atoms,n_ligand_atoms,peptide_charge,ligand_charge,interaction_kcal,strain_peptide_kcal,strain_ligand_kcal,desolv_complex_kcal,desolv_peptide_kcal,desolv_ligand_kcal,desolvation_kcal,desolv_spread_kcal,cavity_kcal,cavity_spread_kcal,cavity_waters,strain_peptide_steps,strain_peptide_converged,strain_ligand_steps,strain_ligand_converged,binding_kcal
esm1_f12,520,44,0,0,-17.112,,7.129,,,,,,,,,,,17,1,-9.983
esm1_f4,520,44,0,0,-20.891,,20.663,,,,,,,,,,,53,1,-0.228
esm1_f8,520,44,0,0,-29.099,,27.779,,,,,,,,,,,72,1,-1.320
