name,n_peptide_atoms,n_ligand_atoms,peptide_charge,ligand_charge,interaction_kcal,strain_peptide_kcal,strain_ligand_kcal,desolv_complex_kcal,desolv_peptide_kcal,desolv_ligand_kcal,desolvation_kcal,desolv_spread_kcal,cavity_kcal,cavity_spread_kcal,cavity_waters,strain_peptide_steps,strain_peptide_converged,strain_ligand_steps,strain_ligand_converged,binding_kcal
s2_esm1_control,498,44,0,0,-9.701,,6.017,,,,,,,,,,,22,1,-3.684
s2_esm2_control,604,44,5,0,-74.888,,4.643,,,,,,,,,,,11,1,-70.245
s2_orig_control,361,44,-1,0,-25.182,,6.960,,,,,,,,,,,25,1,-18.222
