name,n_peptide_atoms,n_ligand_atoms,peptide_charge,ligand_charge,interaction_kcal,strain_peptide_kcal,strain_ligand_kcal,desolv_complex_kcal,desolv_peptide_kcal,desolv_ligand_kcal,desolvation_kcal,desolv_spread_kcal,cavity_kcal,cavity_spread_kcal,cavity_waters,strain_peptide_steps,strain_peptide_converged,strain_ligand_steps,strain_ligand_converged,binding_kcal
s2_esm1_f12,498,44,0,0,-42.394,,18.916,,,,,,,,,,,44,1,-23.478
s2_esm1_f4,498,44,0,0,-29.547,,16.708,,,,,,,,,,,37,1,-12.839
s2_esm1_f8,498,44,0,0,-19.908,,25.568,,,,,,,,,,,38,1,5.660
s2_esm2_f12,604,44,5,0,-72.717,,8.336,,,,,,,,,,,30,1,-64.381
s2_esm2_f4,604,44,5,0,-7.526,,20.694,,,,,,,,,,,68,1,13.168
s2_esm2_f8,604,44,5,0,-28.292,,15.483,,,,,,,,,,,51,1,-12.809
s2_orig_f12,361,44,-1,0,-17.558,,9.425,,,,,,,,,,,24,1,-8.133
s2_orig_f4,361,44,-1,0,-17.479,,11.911,,,,,,,,,,,42,1,-5.568
s2_orig_f8,361,44,-1,0,-11.072,,30.379,,,,,,,,,,,58,1,19.307
