name,n_peptide_atoms,n_ligand_atoms,peptide_charge,ligand_charge,interaction_kcal,strain_peptide_kcal,strain_ligand_kcal,desolv_complex_kcal,desolv_peptide_kcal,desolv_ligand_kcal,desolvation_kcal,desolv_spread_kcal,cavity_kcal,cavity_spread_kcal,cavity_waters,strain_peptide_steps,strain_peptide_converged,strain_ligand_steps,strain_ligand_converged,binding_kcal
esm2_f12,557,44,2,0,-21.135,,6.918,,,,,,,,,,,30,1,-14.217
esm2_f4,557,44,2,0,-39.903,,15.699,,,,,,,,,,,24,1,-24.204
esm2_f8,557,44,2,0,-29.657,,8.845,,,,,,,,,,,25,1,-20.812
