1 complexes; terms: ['interaction', 'strain_ligand']

s2_orig_control
    relaxing 193 hydrogens of complex (212 heavy atoms fixed)
      Step     Time          Energy          fmax
BFGS:   41 12:02:36   -24160.904516        0.141824
BFGS:   42 12:02:36   -24160.910563        0.255298
BFGS:   43 12:02:36   -24160.918509        0.158391
BFGS:   44 12:02:36   -24160.925073        0.154527
BFGS:   45 12:02:36   -24160.934414        0.140100
BFGS:   46 12:02:36   -24160.939265        0.137008
BFGS:   47 12:02:37   -24160.947335        0.130431
BFGS:   48 12:02:37   -24160.951343        0.288749
BFGS:   49 12:02:37   -24160.957678        0.148401
BFGS:   50 12:02:37   -24160.962930        0.117979
BFGS:   51 12:02:37   -24160.971049        0.139280
BFGS:   52 12:02:37   -24160.975575        0.126324
BFGS:   53 12:02:37   -24160.983899        0.209795
BFGS:   54 12:02:37   -24160.988417        0.138232
BFGS:   55 12:02:37   -24160.992743        0.129392
BFGS:   56 12:02:37   -24160.995827        0.119691
BFGS:   57 12:02:37   -24160.998880        0.090309
    -> 57 steps, converged=True
  strain ligand     11.52 kcal/mol (57 steps, converged=True)
  binding        -12.76 kcal/mol   (no desolvation term)

results in /tmp/run/boltz/binding_modal.csv

--- stderr ---
[11:59:53] WARNING: More than one matching pattern found - picking one

WARNING:root:Model is being compiled this might take a while for the first time
W0926 11:59:57.581000 6 site-packages/torch/_logging/_internal.py:1345] [0/0] Profiler record function <class 'torch.autograd.profiler.record_function'> will be ignored
/usr/local/lib/python3.12/site-packages/torch/_inductor/compile_fx.py:321: UserWarning: TensorFloat32 tensor cores for float32 matrix multiplication available but not enabled. Consider setting `torch.set_float32_matmul_precision('high')` for better performance.
  warnings.warn(
W0926 12:00:07.881000 6 site-packages/torch/_inductor/utils.py:1953] [3/0_1] Not enough SMs to use max_autotune_gemm mode
/usr/local/lib/python3.12/site-packages/torch/_inductor/lowering.py:2352: FutureWarning: `torch._prims_common.check` is deprecated and will be removed in the future. Please use `torch._check*` functions instead.
  check(
WARNING:root:The UMA fast path (merge_mole + compile) is only available for fixed composition, task, charge, and spin. This is optimized for MD applications. Falling back to a less optimized version for subsequent evaluations. Reason: 'Compositions differ from merged model'.
Use inference_settings='batch' for heterogeneous batched evaluations.
